Species,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Triplochiton scleroxylon,Triplochiton scleroxylon K.Schum,Health care,treating skin and breast cancer,Medicine: Cancer,Ashanti Region,46,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1959,1976,1995,
Triplochiton scleroxylon,Triplochiton scleroxylon K.Schumm.,Health care,used for proper positioning of babies in the womb,Medicine: Antenatal care,Brong-Ahafo Region,46,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1959,1976,1995,
Triumfetta cordifolia,Triumfetta cordifolia A.Rich,Health care,treating skin and breast cancer,Medicine: Cancer,Ashanti Region,30,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1953,1995,1996,
Turraea heterophylla,Turraea heterophylla Sm.,Health care,"treating stomach, prostate, joint, breast, liver, throat",Medicine: Cancer,Ashanti Region,58,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1958,1961,1970,
Uapaca guineensis,Uapaca guineensis Mull. Arg,Health care,treating stroke,Medicine: Stroke,Greater Accra Region,19,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1974,1996,1996,
Uapaca guineensis,Uapaca guineensis Müll. Arg.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,19,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1974,1996,1996,
Uvaria globosa,Uvaria globosa Hook.f,Health care,treating typhoid,Medicine: Fever,Greater Accra Region,1,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Uvaria globosa,Uvaria globosa Hook.f.,Health care,treating day-blindness,Medicine: Eye care,Greater Accra Region,1,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,
Vernonia amygdalina, Vernonia amygdalina Schreber.,Health care,treating fevers,Medicine: Fever,Greater Accra Region,0,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,NA,NA,NA,Vernonia ameygdalina was recorded in this paper but GBIF found it as Vernonia amygdalina
Vernonia amygdalina,Vernonia amygdalina Del.,Health care,treating malaria,Medicine: Malaria,Upper West Region,10,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1956,1973,1996,
Vernonia amygdalina,Vernonia amygdalina Del.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,10,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-114,NA,NA,NA,
Vernonia amygdalina,Vernonia amygdalina Delile,Health care,treating dermatitis ,Medicine: Infections,Eastern Region,10,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,NA,NA,NA,
Vernonia amygdalina,Vernonia amygdalina Delile,Health care,treating diarrhoea,Medicine: Diarrhoea,Asanti Region,10,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1956,1973,1996,
Vernonia amygdalina,Vernonia amygdalina Delile,Health care,treating malaria,Medicine: Malaria,Asanti Region,10,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1956,1973,1996,
Vernonia amygdalina,Vernonia amygdalina Delile,Health care,treating malaria,Medicine: Malaria,Ashanti Region,10,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,NA,NA,NA,
Vernonia amygdalina,Vernonia amygdalina Delile ,Health care,treating diabetes mellitus,Medicine: Diabetes,Greater Accra Region,10,"Asase, A., & Yohonu, D. T. (2016)",Ethnobotanical study of herbal medicines for management of diabetes mellitus in Dangme west district of Southern Ghana.,Journal of Herbal Medicine ,6(4),204-209,NA,NA,NA,
Vernonia amygdalina,Vernonia amygdalina Delile ,Health care,treating malaria,Medicine: Malaria,Greater Accra Region,10,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1956,1973,1996,
Vernonia amygdalina,"Vernonia amygdalina 
Delile",Health care,treating malaria,Medicine: Malaria,Upper West Region,10,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,NA,NA,NA,
Vernonia amygdalina,,Health care,treating wounds and infections,Medicine: Wound healing,Eastern Region,10,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1),102-122,NA,NA,NA,
Vernonia colorata,Vernonia colorata (Wild.) Drake ,Health care,treating wounds and arresting bleeding,Medicine: Wound healing,Volta Region,32,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,NA,NA,NA,
Vernonia conferta,Vernonia conferta Benth.,Health care,treating diabetes,Medicine: Diabetes,Greater Accra Region,19,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,NA,NA,NA,
Vitellaria paradoxa,Vitellaria paradoxa C.F.Gaertn,Health care,treating diarrhoea,Medicine: Diarrhoea,Greater Accra Region,25,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1994,1994,1999,
Vitellaria paradoxa,Vitellaria paradoxa C.F.Gaertn,Health care,treating candidiasis,Medicine: Infections,Greater Accra Region,25,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1994,1994,1999,
Vitellaria paradoxa,Vitellaria paradoxa C.F.Gaertn.,Health care,treating waist pains,Medicine: Analgesic,Upper West Region,25,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1994,1994,1999,
Vitellaria paradoxa,"Vitellaria paradoxa 
C.F. Gaertn.",Health care,treating boils,Medicine: Infections,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1994,1994,1999,
Vitellaria paradoxa,"Vitellaria paradoxa 
C.F. Gaertn.",Food and nutrition,"fruits are eaten, oil is extracted from seeds for cooking ",Food,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1994,1994,1999,
Vitellaria paradoxa,"Vitellaria paradoxa 
C.F. Gaertn.",Agriculture,use for feeding livestocks,Fodder,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1994,1994,1999,
Vitellaria paradoxa,"Vitellaria paradoxa 
C.F. Gaertn.",Energy,used as fuel wood for cooking,Fuel,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1994,1994,1999,
Vitellaria paradoxa,"Vitellaria paradoxa 
C.F. Gaertn.",Social,used for carving artefacts ,Artefacts,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1994,1994,1999,
Vitellaria paradoxa,"Vitellaria paradoxa 
C.F. Gaertn.",Construction,used for roofing buildings,Building materials,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1994,1994,1999,
Vitellaria paradoxa,"Vitellaria paradoxa 
C.F. Gaertn.",Culture,used at funeral grounds,Cultural purposes,Upper West Region,25,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1994,1994,1999,
Vitellaria paradoxa,,Culture,used for rituals,Cultural purposes,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",13,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1994,1994,1999,
Vitellaria paradoxa,,Health care,for treating skin boils,Medicine: Infections,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",25,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1994,1994,1999,
Vitellaria paradoxa,,Health care,used as cosmetics and baby care,Medicine: Skin care,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",25,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1994,1994,1999,
Vitellaria paradoxa,,Agriculture,protecting stored products,Post-harvest protectants,"Northern, Upper East and Upper West Regions",25,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,1994,1994,1999,
Vitellaria paradoxa,,Food and nutrition,provides cooking oil,Food,"Northern, Upper East and Upper West Regions",25,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,1994,1994,1999,
Vitellaria paradoxa,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,1994,1994,1999,
Vitex doniana,Vitex doniana Sweet,Health care,treating anaemia,Medicine: Blood booster,Upper West Region,45,"Kranjac-Berisavljevic, G., & Gandaa, B. Z. (2011)",Importance of bush grape (Vitex spp.) as food and medicinal plant to the Dagarti speaking people of the Upper West Region of Northern Ghana,II International Symposium on Underutilized Plant Species: Crops for the Future-Beyond Food Security,979,669-673,1956,1977,1994,
Vitex doniana,Vitex doniana Sweet,Health care,treating jaundice,Medicine: Jaundice,Upper West Region,45,"Kranjac-Berisavljevic, G., & Gandaa, B. Z. (2011)",Importance of bush grape (Vitex spp.) as food and medicinal plant to the Dagarti speaking people of the Upper West Region of Northern Ghana,II International Symposium on Underutilized Plant Species: Crops for the Future-Beyond Food Security,979,669-673,1956,1977,1994,
Vitex doniana,Vitex doniana Sweet,Health care,treating dysentery,Medicine: Dysentery,Upper West Region,45,"Kranjac-Berisavljevic, G., & Gandaa, B. Z. (2011)",Importance of bush grape (Vitex spp.) as food and medicinal plant to the Dagarti speaking people of the Upper West Region of Northern Ghana,II International Symposium on Underutilized Plant Species: Crops for the Future-Beyond Food Security,979,669-673,1956,1977,1994,
Vitex doniana,Vitex doniana Sweet,Food and nutrition,"fruits are taken as meals, leaves are used as vegetables",Food,Upper West Region,45,"Kranjac-Berisavljevic, G., & Gandaa, B. Z. (2011)",Importance of bush grape (Vitex spp.) as food and medicinal plant to the Dagarti speaking people of the Upper West Region of Northern Ghana,II International Symposium on Underutilized Plant Species: Crops for the Future-Beyond Food Security,979,669-673,1956,1977,1994,
Waltheria indica,Waltheria indica L.,Health care,treating impotence,Medicine: Infertility,Upper West Region,66,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1956,1963,1995,
Wissadula amplissima,Wissadula amplissima (L.) R.E. Fries ,Health care,treating stomach ulcer,Medicine: Ulcer,Upper West Region,23,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1942,1952,1954,
Withania somnifera,Withania somnifera L.Dunal.,Health care,treating genital cancer,Medicine: Cancer,Ashanti Region,0,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Xanthosoma sagittifolium,Xanthosoma sagittifolium (L.),Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,4,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Xeroderris stuhlmannii,Xeroderris stuhlmannii (Taub.) Mendonca.,Health care,treating malaria,Medicine: Malaria,Upper West Region,19,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1955,1960,1977,
Ximenia americana,Ximenia americana L.,Health care,teating cuts and wounds,Medicine: Wound healing,Upper West Region,61,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1979,1999,
Ximenia americana,Ximenia americana L.,Health care,treating body rashes ,Medicine: Skin disorder,Upper West Region,61,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1979,1999,
Ximenia americana,Ximenia americana L.,Health care,treating toothaches,Medicine: Dental care,Upper West Region,61,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1979,1999,
Ximenia americana,Ximenia americana L.,Food and nutrition,fruits are eaten raw,Food,Upper West Region,61,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1979,1999,
